material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaaewcax,Bulk ZnO,0.2918000000000003,4.776944429874203,157.62337919812677,14,11.258812799866197,2,11.258812799866197,0,0.0,0.030306065344975,0.08881931139417153,2.591718473794877,27.135340573394583,0.08881930350530216,0.07142857142857142,0.5714285714285714,0.125,2.714285714285714,2.13,0.9321428571428572,4.285714285714286,0.41331389876657276,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewcbx,Bulk ZnO,0.8692000000000002,6.318871998128181,142.6498966516639,11,12.968172422878537,3,12.968172422878537,0,0.0,0.04429636576294341,0.07711186799427446,2.105242835454046,28.840957279551912,0.07711186204803473,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.6854545454545455,2.13,0.9772727272727273,4.181818181818182,0.42881602126899787,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewdhp,Bulk ZnO,2.2319000000000004,6.353054628313478,550.5233266046043,41,13.427398209868398,3,13.427398209868398,0,0.0,0.011540028044763223,0.07447459175412367,5.002555876458914,46.300586000752425,0.07447458620765927,0.0975609756097561,0.5853658536585366,0.16666666666666669,2.6221951219512194,2.49,1.0414634146341464,4.341463414634146,0.5406641594628343,1,9.200000000000001,6.2,9.200000000000001,2680.0,Training
mp-aaaewdpl,Bulk ZnO,2.2531,6.342028801894898,551.4804295803442,41,13.450742184886444,3,13.450742184886444,0,0.0,0.01150000700246234,0.07434533992656721,4.999660195794603,46.381081097868716,0.07434533439933806,0.0975609756097561,0.5853658536585366,0.16666666666666669,2.6221951219512194,2.49,1.0414634146341464,4.341463414634146,0.5406641594628343,1,9.200000000000001,6.2,9.200000000000001,2680.0,Training
mp-aaaewdvv,Bulk ZnO,2.003,4.026423471140799,118.60652017514461,10,11.860652017514461,2,11.860652017514461,0,0.0,0.03394774136527262,0.08431239686682603,2.0353095884687167,25.55300015292981,0.08431238975824637,0.1,0.6,0.16666666666666669,2.686,2.13,0.915,4.3999999999999995,0.4240169559463419,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewdya,Bulk ZnO,1.7698,4.250816688872772,112.34548831842852,10,11.234548831842853,2,11.234548831842853,0,0.0,0.03783700398207706,0.08901114009720011,2.0724375595929767,24.20410173017942,0.08901113217421776,0.1,0.6,0.16666666666666669,2.686,2.13,0.915,4.3999999999999995,0.4240169559463419,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewdyj,Bulk ZnO,1.8041,3.859563761161537,123.73421096684127,10,12.373421096684128,2,12.373421096684128,0,0.0,0.031192373806754516,0.08081839227697371,2.0067968111546906,26.657727645068643,0.08081838574536171,0.1,0.6,0.16666666666666669,2.686,2.13,0.915,4.3999999999999995,0.4240169559463419,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewebb,2D ZnO,2.7318000000000002,5.411991541109471,197.65858214014696,11,17.968962012740633,3,17.968962012740633,1,50.0,0.027380503707510034,0.055651517282465424,1.8883715984439413,39.962613764531504,0.055651514185374215,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5218181818181815,2.55,1.1,4.181818181818182,0.5475167628111347,1,23.0,15.5,23.0,6700.0,Test
mp-aaaewebi,2D ZnO,0.2090999999999994,5.3790224949147465,180.6801388725654,11,16.42546717023322,3,16.42546717023322,1,50.0,0.0297709672379021,0.06088106899097722,1.9457597407253793,36.529911964898595,0.06088106528447288,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5318181818181817,2.34,1.0727272727272728,4.454545454545454,0.5091803012130779,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewebk,2D ZnO,0.7161999999999997,5.408485161898843,200.03838479866897,11,18.185307708969905,3,18.185307708969905,1,50.0,0.027037236715054855,0.05498944620589234,1.880853222087663,40.443762285625766,0.054989443182053316,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.6527272727272724,2.13,1.0045454545454544,4.727272727272727,0.4464300265849162,1,23.0,15.5,23.0,6700.0,Training
